product_id,Carat ,Colour,Clarity,Shape,Cut ,Symmetry ,Polish ,Floresc,Cert_No ,Grading ,Price,Category,Image,Title,Description,Focus_Keyword,SEO_Title,Meta_Description,View
,3.5,BROWNISH ORANGE , ,Round ,,,,,ID17034128M ,GEM LAB ,25900,Loose Diamonds,Round -01.png,3.5ct BROWNISH ORANGE    Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,3.5ct,3.5ct BROWNISH ORANGE    Round  Cut Diamond | The Diamond Shoppe | South Africa,3.5ct BROWNISH ORANGE    Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.62,C4 ,SI2 ,Round ,Excellent,,,,150220094/200730 ,EGL ,16500,Loose Diamonds,Round -01.png,0.62ct C4  SI2  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.62ct,0.62ct C4  SI2  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.62ct C4  SI2  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.76,C5 DARK CHAMP ,SI2 ,Oval ,,,,,200910268/130411 ,EGL ,15000,Loose Diamonds,Oval -01.png,0.76ct C5 DARK CHAMP  SI2  Oval  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.76ct,0.76ct C5 DARK CHAMP  SI2  Oval  Cut Diamond | The Diamond Shoppe | South Africa,0.76ct C5 DARK CHAMP  SI2  Oval  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,1.01,Cognac ,SI2 ,Cushion ,,,,,181012368/123276 ,EGL ,19200,Loose Diamonds,Cushion -01.png,1.01ct Cognac  SI2  Cushion  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,1.01ct,1.01ct Cognac  SI2  Cushion  Cut Diamond | The Diamond Shoppe | South Africa,1.01ct Cognac  SI2  Cushion  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.33,D ,I1 ,Pear ,,,,,180610922/121121 ,EGL ,5400,Loose Diamonds,Pear -01.png,0.33ct D  I1  Pear  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.33ct,0.33ct D  I1  Pear  Cut Diamond | The Diamond Shoppe | South Africa,0.33ct D  I1  Pear  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.36,D ,I1 ,Round ,,,,,20120268/131283 ,EGL ,7800,Loose Diamonds,Round -01.png,0.36ct D  I1  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.36ct,0.36ct D  I1  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.36ct D  I1  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.54,D ,I1 ,Round ,Excellent,,,,200710693/130023 ,EGL ,17200,Loose Diamonds,Round -01.png,0.54ct D  I1  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.54ct,0.54ct D  I1  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.54ct D  I1  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.43,D ,I3 ,Round ,,,,, , ,3200,Loose Diamonds,Round -01.png,0.43ct D  I3  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.43ct,0.43ct D  I3  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.43ct D  I3  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.2,D ,SI1 ,Oval ,,,,,200110596/128662 ,EGL ,3500,Loose Diamonds,Oval -01.png,0.2ct D  SI1  Oval  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.2ct,0.2ct D  SI1  Oval  Cut Diamond | The Diamond Shoppe | South Africa,0.2ct D  SI1  Oval  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.58,D ,SI1 ,Oval ,,,,,191011119/127757 ,EGL ,22400,Loose Diamonds,Oval -01.png,0.58ct D  SI1  Oval  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.58ct,0.58ct D  SI1  Oval  Cut Diamond | The Diamond Shoppe | South Africa,0.58ct D  SI1  Oval  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
